,message,label,message_length,num_digits,has_link,has_email,is_question,contain_spam_keywords,spam_keywords_count,starts_with_greeting,has_closing,num_sepcail_chars,num_excalamation_marks,number_upper_words,message_cleaned
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,111,0,0,0,0,0,0,0,0,0,0,0,"['go', 'Ġuntil', 'Ġjur', 'ong', 'Ġpoint', 'Ġ,', 'Ġcrazy', 'Ġ..', 'Ġavailable', 'Ġonly', 'Ġin', 'Ġbug', 'Ġn', 'Ġgreat', 'Ġworld', 'Ġla', 'Ġe', 'Ġbuffet', 'Ġ...', 'Ġc', 'ine', 'Ġthere', 'Ġget', 'Ġam', 'ore', 'Ġwat', 'Ġ...']"
1,Ok lar... Joking wif u oni...,ham,29,0,0,0,0,0,0,0,0,0,0,0,"['ok', 'Ġlar', 'Ġ...', 'Ġjoke', 'Ġw', 'Ġu', 'Ġon', 'Ġ...']"
2,U dun say so early hor... U c already then say...,ham,49,0,0,0,0,0,0,0,0,0,0,2,"['u', 'Ġdun', 'Ġsay', 'Ġso', 'Ġearly', 'Ġhor', 'Ġ...', 'Ġu', 'Ġc', 'Ġalready', 'Ġthen', 'Ġsay', 'Ġ...']"
3,"Nah I don't think he goes to usf, he lives around here though",ham,61,0,0,0,0,0,0,0,0,1,0,1,"['nah', 'ĠI', 'Ġdo', 'Ġnot', 'Ġthink', 'Ġhe', 'Ġgo', 'Ġto', 'Ġus', 'f', 'Ġ,', 'Ġhe', 'Ġlive', 'Ġaround', 'Ġhere', 'Ġthough']"
4,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,148,4,1,0,0,1,2,0,0,8,2,0,"['fre', 'ems', 'g', 'Ġhey', 'Ġthere', 'Ġd', 'ar', 'le', 'Ġit', 'Ġbe', 'Ġbe', 'Ġ3', 'Ġweek', ""Ġ'"", 'Ġnow', 'Ġand', 'Ġno', 'Ġword', 'Ġback', 'Ġ!', 'ĠI', 'Ġwould', 'Ġlike', 'Ġsome', 'Ġfun', 'Ġyou', 'Ġup', 'Ġfor', 'Ġit', 'Ġstill', 'Ġ?', 'Ġt', 'b', 'Ġok', 'Ġ!', 'Ġx', 'xx', 'Ġstd', 'Ġch', 'gs', 'Ġto', 'Ġsend', 'Ġ,', 'ĠÃ', '¥', 'Â£', '1', '.', '50', 'Ġto', 'Ġr', 'cv']"
5,Even my brother is not like to speak with me. They treat me like aids patent.,ham,77,0,0,0,0,0,0,0,0,0,0,0,"['even', 'Ġmy', 'Ġbrother', 'Ġbe', 'Ġnot', 'Ġlike', 'Ġto', 'Ġspeak', 'Ġwith', 'ĠI', 'Ġ.', 'Ġthey', 'Ġtreat', 'ĠI', 'Ġlike', 'Ġaids', 'Ġpatent', 'Ġ.']"
6,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,109,0,0,0,0,0,0,0,0,4,0,0,"['Ġbe', 'Ġgo', 'Ġto', 'Ġbe', 'Ġhome', 'Ġsoon', 'Ġand', 'ĠI', 'Ġdo', 'Ġnot', 'Ġwant', 'Ġto', 'Ġtalk', 'Ġabout', 'Ġthis', 'Ġstuff', 'Ġanymore', 'Ġtonight', 'Ġ,', 'Ġk', 'Ġ?', 'ĠI', 'Ġhave', 'Ġcry', 'Ġenough', 'Ġtoday', 'Ġ.']"
7,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,196,0,0,0,0,0,0,0,0,1,0,1,"['Ġhave', 'Ġbe', 'Ġsearch', 'Ġfor', 'Ġthe', 'Ġright', 'Ġword', 'Ġto', 'Ġthank', 'Ġyou', 'Ġfor', 'Ġthis', 'Ġbreat', 'Ġ.', 'ĠI', 'Ġpromise', 'ĠI', 'Ġwill', 'Ġnot', 'Ġtake', 'Ġyour', 'Ġhelp', 'Ġfor', 'Ġgrant', 'Ġand', 'Ġwill', 'Ġfulfil', 'Ġmy', 'Ġpromise', 'Ġ.', 'Ġyou', 'Ġhave', 'Ġbe', 'Ġwonderful', 'Ġand', 'Ġa', 'Ġblessing', 'Ġat', 'Ġall', 'Ġtime', 'Ġ.']"
8,I HAVE A DATE ON SUNDAY WITH WILL!!,ham,35,0,0,0,0,0,0,0,0,2,2,8,"['Ġhave', 'Ġa', 'Ġdate', 'Ġon', 'Ġsund', 'ay', 'Ġwith', 'Ġwill', 'Ġ!', 'Ġ!']"
9,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,149,0,1,0,0,1,2,0,0,8,0,1,"['xxx', 'mobile', 'movie', 'club', 'Ġ:', 'Ġto', 'Ġuse', 'Ġyour', 'Ġcredit', 'Ġ,', 'Ġclick', 'Ġthe', 'Ġw', 'ap', 'Ġlink', 'Ġin', 'Ġthe', 'Ġnext', 'Ġt', 'xt', 'Ġmessage', 'Ġor', 'Ġclick', 'Ġhere', 'Ġ>', 'Ġ>', 'Ġhttp', '://', 'w', 'ap', 'Ġ.', 'Ġx', 'xx', 'mobile', 'movie', 'club', '.', 'com', '?', 'n', '=', 'q', 'j', 'kg', 'igh', 'jj', 'gc', 'bl']"
